"Grunntype_kode","LKM_Basistrinn1","LKM_Basistrinn2","LKM_Basistrinn3","LKM_Basistrinn4","LKM_Basistrinn5","LKM_Basistrinn6"
"NA-V13-8","HS*-D","IO-b¤","SX-o"," "," "," "
"NA-H1-1","DM-0","KY-0"," "," "," "," "
"NA-H1-2","DM-a","KY-0"," "," "," "," "
"NA-H1-3","DM-bcd","KY-0"," "," "," "," "
"NA-H1-4","DM-ef","KY-0"," "," "," "," "
"NA-H1-5","DM-0","KY-a"," "," "," "," "
"NA-H2-1","SA-def","SM-a"," "," "," "," "
"NA-H2-2","SA-def","SM-bc"," "," "," "," "
"NA-H2-3","SA-def","SM-def"," "," "," "," "
"NA-H2-4","SA-def","SM-gh"," "," "," "," "
"NA-H2-5","SA-def","SM-i"," "," "," "," "
"NA-H2-6","SA-def","SM-¤"," "," "," "," "
"NA-H2-7","SA-abc","SM-bc"," "," "," "," "
"NA-H2-8","SA-abc","SM-def"," "," "," "," "
"NA-H4-1","SY-a"," "," "," "," "," "
"NA-H4-2","SY-b"," "," "," "," "," "
"NA-H4-3","SY-c"," "," "," "," "," "
"NA-H4-4","SY-d"," "," "," "," "," "
"NA-F1-1","KA-abcde","VF-bcde","HU-0a"," "," "," "
"NA-F1-2","KA-abcde","VF-bcde","HU-bcd"," "," "," "
"NA-F1-3","KA-abcde","VF-fgh¤","HU-0a"," "," "," "
"NA-F1-4","KA-abcde","VF-fgh¤","HU-bcd"," "," "," "
"NA-F1-5","KA-fghi","VF-bcde","HU-0a"," "," "," "
"NA-F1-6","KA-fghi","VF-bcde","HU-bcd"," "," "," "
"NA-F2-1","HU-0a","SM-bc","KA-ab"," "," "," "
"NA-F2-2","HU-0a","SM-bc","KA-cde"," "," "," "
"NA-F2-3","HU-0a","SM-bc","KA-fghi"," "," "," "
"NA-F2-4","HU-0a","SM-def","KA-ab"," "," "," "
"NA-F2-5","HU-0a","SM-def","KA-cde"," "," "," "
"NA-F2-6","HU-0a","SM-def","KA-fghi"," "," "," "
"NA-F2-7","HU-0a","SM-ghi","KA-ab"," "," "," "
"NA-F2-8","HU-0a","SM-ghi","KA-cde"," "," "," "
"NA-F2-9","HU-0a","SM-ghi","KA-fghi"," "," "," "
"NA-F2-10","HU-0a","SM-¤","KA-abcdefghi"," "," ",
"NA-F2-11","HU-0a","SM-bc","KA-ab","TU-a"," "," "
"NA-F2-12","HU-0a","SM-def","KA-ab","TU-a"," "," "
"NA-F2-13","HU-bcd","SM-bc","KA-ab"," "," "," "
"NA-F2-14","HU-bcd","SM-bc","KA-cde"," "," "," "
"NA-F2-15","HU-bcd","SM-bc","KA-fghi"," "," "," "
"NA-F2-16","HU-bcd","SM-def","KA-ab"," "," "," "
"NA-F2-17","HU-bcd","SM-def","KA-cde"," "," "," "
"NA-F2-18","HU-bcd","SM-def","KA-fghi"," "," "," "
"NA-F2-19","HU-bcd","SM-ghi","KA-ab"," "," "," "
"NA-F2-20","HU-bcd","SM-ghi","KA-cde"," "," "," "
"NA-F2-21","HU-bcd","SM-ghi","KA-fghi"," "," "," "
"NA-F4-1","SY-a"," "," "," "," "," "
"NA-F4-2","SY-b"," "," "," "," "," "
"NA-F4-3","SY-c"," "," "," "," "," "
"NA-F5-1","SY-a"," "," "," "," "," "
"NA-F5-2","SY-b"," "," "," "," "," "
"NA-F5-3","SY-c"," "," "," "," "," "
"NA-F5-4","SY-d"," "," "," "," "," "
