Nivå	HTG	HT	GT_nr	Basic type	S_kode	Name		KLG_RE-IA	KLG_RE-ID-KF	KLG_RE-KS	KLG_KA	KLG_IYK	KLG_IP	KLG_BP	KLG_VP	KLG_VE	KLG_AI	KLG_AI-KS	KLG_JP	Pred_Lnr	Naturlandskap
LA	I	IA	52	IA-52	LA-IA-52	Tindelandskap med vegetasjonsdekke	Steep and rugged mountains	KLG_RE-IA-5						KLG_BP-1		KLG_VE-3	KLG_AI-1		KLG_JP-1	52	1
LA	I	IA	53	IA-53	LA-IA-53	Tindelandskap med bart fjell	Steep and rugged barren mountains	KLG_RE-IA-5						KLG_BP-1		KLG_VE-4	KLG_AI-1		KLG_JP-1	53	1
LA	I	IA	54	IA-54	LA-IA-54	Tindelandskap med isbre 	Steep and rugged barren mountains with glacier 	KLG_RE-IA-5						KLG_BP-2		KLG_VE-4	KLG_AI-1		KLG_JP-1	54	1
LA	I	IA	6	IA-6	LA-IA-6	Dalformet åslandskap med tettsted og høyt jordbrukspreg	Concave-shaped hills with village and agriculture	KLG_RE-IA-1						KLG_BP-1		KLG_VE-1	KLG_AI-3		KLG_JP-2	6	0
LA	I	IA	7	IA-7	LA-IA-7	Dalformet åslandskap med større by 	Concave-shaped hills with city 	KLG_RE-IA-1						KLG_BP-1		KLG_VE-1	KLG_AI-4		KLG_JP-1	7	0
LA	I	IA	8	IA-8	LA-IA-8	Dalformet fjellandskap ved skoggrensen	Concave-shaped low mountains 	KLG_RE-IA-1						KLG_BP-1		KLG_VE-2	KLG_AI-1		KLG_JP-1	8	1
LA	I	IA	9	IA-9	LA-IA-9	Dalformet fjellandskap ved skoggrensen med høyt jordbrukspreg	Concave-shaped low mountains with agriculture	KLG_RE-IA-1						KLG_BP-1		KLG_VE-2	KLG_AI-1		KLG_JP-2	9	1
LA	I	ID			LA-ID	Innlands-dallandskap	Valleys		KLG_RE-ID-KF				KLG_IP	KLG_BP		KLG_VE	KLG_AI		KLG_JP	0	
LA	I	ID	1	ID-1	LA-ID-1	Åpent dallandskap i lavlandet	Open valley 		KLG_RE-ID-KF-1				KLG_IP-1	KLG_BP-1		KLG_VE-1	KLG_AI-1		KLG_JP-1	55	1
LA	I	ID	10	ID-10	LA-ID-10	Åpent dallandskap i fjellet med bart fjell/blokkmark 	Open barren mountain valley 		KLG_RE-ID-KF-1				KLG_IP-1	KLG_BP-1		KLG_VE-4	KLG_AI-1		KLG_JP-1	64	1
LA	I	ID	100	ID-100	LA-ID-100	Dypt nedskåret dallandskap med bart fjell/blokkmark og større innsjø 	Narrow and steep sided barren mountain valley with lake 		KLG_RE-ID-KF-4				KLG_IP-2	KLG_BP-1		KLG_VE-4	KLG_AI-1		KLG_JP-1	154	1
LA	I	ID	101	ID-101	LA-ID-101	Dypt nedskåret dallandskap i lavlandet med innlandsfjord 	Narrow and steep sided valley with larger lake 		KLG_RE-ID-KF-4				KLG_IP-3	KLG_BP-1		KLG_VE-1	KLG_AI-1		KLG_JP-1	155	1
LA	I	ID	102	ID-102	LA-ID-102	Dypt nedskåret dallandskap i lavlandet med innlandsfjord og bebyggelse/infrastruktur	Narrow and steep sided valley with larger lake with settlements 		KLG_RE-ID-KF-4				KLG_IP-3	KLG_BP-1		KLG_VE-1	KLG_AI-2		KLG_JP-1	156	0
LA	I	ID	103	ID-103	LA-ID-103	Dypt nedskåret dallandskap ved skoggrensen med innlandsfjord 	Narrow and steep sided lower mountain valley with larger lake 		KLG_RE-ID-KF-4				KLG_IP-3	KLG_BP-1		KLG_VE-2	KLG_AI-1		KLG_JP-1	157	1
LA	I	ID	104	ID-104	LA-ID-104	Dypt nedskåret dallandskap med bart fjell/blokkmark med innlandsfjord 	Narrow and steep sided barren mountain valley with larger lake 		KLG_RE-ID-KF-4				KLG_IP-3	KLG_BP-1		KLG_VE-4	KLG_AI-1		KLG_JP-1	158	1
LA	I	ID	11	ID-11	LA-ID-11	Åpent dallandskap med isbre 	Open barren mountain valley with glacier 		KLG_RE-ID-KF-1				KLG_IP-1	KLG_BP-2		KLG_VE-4	KLG_AI-1		KLG_JP-1	65	1
LA	I	ID	12	ID-12	LA-ID-12	Åpent dallandskap i lavlandet med større innsjø 	Open valley with lake 		KLG_RE-ID-KF-1				KLG_IP-2	KLG_BP-1		KLG_VE-1	KLG_AI-1		KLG_JP-1	66	1
